407,2007-9-28,8,1,Solec,3742.17725727
145,2007-12-25,None,3,Rawska,3469.07977443
222,2007-11-22,6,2,Kościelny,3962.06775645
510,2007-5-6,2,2,Tereszpol,851.819098896
551,2007-5-18,1,1,Rawska,3718.55572543
734,2007-8-11,9,2,Kłodawa,2233.5965808
136,2007-10-28,None,3,Lędziny,1885.25422427
617,2007-8-14,7,1,Besko,1492.28594058
366,2007-11-18,9,1,Królewska,4407.26101228
214,2007-11-13,None,3,Korczyna,4021.24869217
607,2007-9-28,4,1,Kruklanki,3566.22615578
657,2007-12-13,3,1,Krościenko,2701.01588469
270,2007-4-11,None,3,Rozogi,317.270835428
513,2007-7-24,1,2,Świecie,3904.00872375
313,2007-9-1,None,3,Górna,1822.82902229
519,2007-9-21,8,1,Wielichowo,1208.16821928
498,2007-5-19,4,2,Bogdaniec,3483.74420329
301,2007-6-11,11,2,Horodło,4737.69125192
699,2007-6-28,None,3,Dobiegniew,692.108783045
176,2007-7-24,5,1,Gliwice,4281.31037199
98,2007-3-25,10,1,Płoty,2720.53152959
112,2007-11-27,3,2,Jastrzębia,2992.82021662
169,2007-8-12,11,2,Wierzbica,1590.35585188
152,2007-4-8,11,2,Bądkowo,4810.08412776
422,2007-7-26,None,3,Sorkwity,3945.56496999
363,2007-11-14,None,3,Lutomiersk,1797.62448162
202,2007-7-12,None,3,Perlejewo,2401.512036
58,2007-12-14,11,2,Brudzeń,1123.52040258
88,2007-2-3,4,1,Kozielice,3983.55624794
196,2007-9-9,2,1,Sulików,379.975051051
661,2007-6-18,10,2,Legnickie,3071.05855166
253,2007-12-16,None,3,Duży,2252.9007347
377,2007-5-25,5,1,Kościelny,1014.53946666
498,2007-5-4,None,3,Brzeźnica,2804.59931346
598,2007-11-10,None,3,Nowa,4951.74217364
680,2007-1-17,4,1,Borowa,3905.61252919
408,2007-5-15,3,1,Płoniawy,2736.00620336
344,2007-7-3,None,3,Wierzbica,1591.1507532
148,2007-10-14,6,1,Radziejowice,2991.33556108
445,2007-7-9,5,1,Wielkopolski,311.202661558
220,2007-1-4,5,1,Wróblew,4084.36390334
160,2007-6-9,7,2,Czernice,2978.98864812
30,2007-11-1,11,1,Chełm,2362.05281147
336,2007-6-24,4,1,Warpno,2863.62064609
53,2007-5-21,None,3,Wielka,4120.62602731
217,2007-4-2,9,1,Ceranów,328.422302992
733,2007-2-1,9,1,Stare,2240.54006086
43,2007-7-28,8,2,Radłów,3303.4376362
728,2007-11-23,None,3,Kłoda,1794.36266706
745,2007-10-25,None,3,Chełmiński,411.634477087
698,2007-8-15,11,1,Kampinos,2018.91454873
523,2007-11-3,8,1,Miasto,831.001533205
613,2007-10-10,None,3,Kunice,2433.70060473
488,2007-4-4,None,3,Turośń,4984.31133917
372,2007-9-16,4,1,Ziębice,1528.90615531
60,2007-6-3,5,2,Sadowie,4371.07405701
145,2007-8-17,None,3,Domaradz,2112.89566719
333,2007-11-25,None,3,Złoty,2798.69700538
76,2007-3-9,3,2,Duszniki,2852.91470999
269,2007-11-26,6,1,Susz,1933.60939856
321,2007-10-10,4,2,Poświętne,2804.94850694
274,2007-2-20,6,2,Lniano,4197.25630627
74,2007-3-10,7,1,Borzytuchom,3211.40438194
491,2007-12-22,None,3,Stanisławów,4051.36175212
558,2007-12-10,3,2,Sandomierski,3471.78400903
250,2007-1-5,8,1,Żórawina,396.249853116
420,2007-1-6,None,3,Rzepiennik,927.089980389
629,2007-5-20,10,2,Zielona,4789.61890898
3,2007-10-8,4,1,Pełczyce,4740.16045481
342,2007-12-11,4,2,Łęki,3265.09666109
621,2007-2-25,None,3,Potok,2121.12880883
82,2007-3-20,4,1,Skrzyńskie,1086.19159376
226,2007-10-24,11,1,Duży,2167.35704918
404,2007-12-6,None,3,Jordanów,2510.76187491
381,2007-7-12,11,1,Bałtów,2221.96082512
430,2007-3-4,4,1,Karczmiska,1587.3123196
103,2007-4-11,4,1,Południowy,4063.794711
55,2007-11-10,3,1,Gąbin,4122.94806549
